job_title,gender,age,perf_eval,edu,dept,seniority,base_pay,bonus,age_bin,total_pay,base_pay_log,bonus_log,total_pay_log,mod_1_fitted,mod_2_fitted,mod_3_fitted
Driver,Female,35,5,College,Management,1,72038,9031,"(29.8,41.5]",81069,11.184949036550263,9.108418382250798,11.303055922886557,96468.684640002175,89942.27484536642,90237.78525694579
Software Engineer,Male,21,4,PhD,Engineering,5,132823,9625,"[18,29.8]",142448,11.796772693799419,9.172119159155985,11.866732299813453,104926.9308158311,85947.22828817816,85200.91732745517
Graphic Designer,Female,26,5,College,Engineering,2,71182,10015,"[18,29.8]",81197,11.172995256449724,9.211839248099919,11.304633579654448,96468.684640002175,81396.09168103721,82135.39830603842
Software Engineer,Male,19,5,Masters,Administration,4,100305,9618,"[18,29.8]",109923,11.515970823156188,9.171391621837609,11.60753539966016,104926.9308158311,84048.07647388277,83232.07018256703
Graphic Designer,Male,35,5,PhD,Management,3,88566,9469,"(29.8,41.5]",98035,11.391503315765052,9.1557785839835,11.493079836749523,104926.9308158311,99241.29098824579,98982.8473416722
Warehouse Associate,Male,34,5,PhD,Engineering,4,104271,10177,"(29.8,41.5]",114448,11.554748558223888,9.227885551191932,11.647875850348164,104926.9308158311,98291.7150810981,97998.42376922813
IT,Female,38,5,College,Administration,5,112392,10504,"(29.8,41.5]",122896,11.629748039531487,9.259511415982631,11.719093748238464,96468.684640002175,92791.00256680947,92938.58090724825
Software Engineer,Male,20,5,Masters,Management,2,66359,10137,"[18,29.8]",76496,11.102834674871971,9.2239473753824,11.244993730865884,104926.9308158311,84997.65238103046,84216.49375501109
Sales Associate,Male,35,5,Masters,Management,5,103007,10512,"(29.8,41.5]",113519,11.542552226067565,9.260272740724393,11.639725502774688,104926.9308158311,99241.29098824579,98982.8473416722
Marketing Associate,Female,26,5,PhD,Operations,4,80306,9233,"[18,29.8]",89539,11.293599616944215,9.130539301772627,11.402429563539606,96468.684640002175,81396.09168103721,82135.39830603842
Data Scientist,Female,22,5,High School,Engineering,3,74523,9972,"[18,29.8]",84495,11.218863081554161,9.207536444643448,11.344447639996924,96468.684640002175,77597.78805244647,78534.33743896848
Data Scientist,Female,45,5,PhD,Management,5,113252,10139,"(41.5,53.2]",123391,11.637370703233493,9.22414465295258,11.723113454244212,96468.684640002175,99438.0339168433,99240.43742462066
Software Engineer,Male,27,5,PhD,Management,4,96040,10050,"[18,29.8]",106090,11.47252005033519,9.215327913487222,11.572043069453317,104926.9308158311,91644.68373106429,91107.45876211961
Software Engineer,Male,21,5,High School,Management,4,91674,9780,"[18,29.8]",101454,11.42599408478077,9.188094763028863,11.527360772766484,104926.9308158311,85947.22828817816,85200.91732745517
Software Engineer,Male,31,5,High School,Operations,3,92928,9094,"(29.8,41.5]",102022,11.439580278744414,9.115370134384955,11.532943755283977,104926.9308158311,95442.98735965503,95045.1530518959
IT,Female,33,5,College,Management,4,84638,9409,"(29.8,41.5]",94047,11.346138617323343,9.149421957006766,11.451549936293793,96468.684640002175,88043.12303107104,88437.25482341083
IT,Male,19,5,College,Administration,4,78986,9023,"[18,29.8]",88009,11.277025900554818,9.107532151994501,11.385194360958117,104926.9308158311,84048.07647388277,83232.07018256703
Data Scientist,Male,29,5,PhD,Administration,5,96355,9784,"[18,29.8]",106139,11.475794566632022,9.188503677367008,11.572504834818755,104926.9308158311,93543.83554535966,93076.30590700776
Data Scientist,Male,32,5,PhD,Management,3,87121,8703,"(29.8,41.5]",95824,11.375053235961534,9.071423072789514,11.470268454504243,104926.9308158311,96392.56326680272,96029.57662433998
Software Engineer,Male,31,5,PhD,Sales,2,88724,8949,"(29.8,41.5]",97673,11.39328570667068,9.099297073182859,11.48938044364504,104926.9308158311,95442.98735965503,95045.1530518959
Warehouse Associate,Male,22,5,Masters,Engineering,2,58219,9868,"[18,29.8]",68087,10.971967040924001,9.197052477649247,11.128541578173136,104926.9308158311,86896.80419532585,86185.34089989925
Software Engineer,Male,25,5,Masters,Sales,5,119024,11293,"[18,29.8]",130317,11.687080432431122,9.331938343723671,11.77772522275313,104926.9308158311,89745.5319167689,89138.61161723147
Software Engineer,Male,22,5,Masters,Management,3,81503,9729,"[18,29.8]",91232,11.30839510836744,9.182866394975427,11.421160991712398,104926.9308158311,86896.80419532585,86185.34089989925
Data Scientist,Female,21,5,PhD,Operations,3,70643,10033,"[18,29.8]",80676,11.165394303232237,9.213634938925614,11.298196412257036,96468.684640002175,76648.21214529878,77634.07222220098
Graphic Designer,Female,26,5,PhD,Sales,3,74167,10346,"[18,29.8]",84513,11.214074586292245,9.24435525056346,11.344660647666005,96468.684640002175,81396.09168103721,82135.39830603842
Marketing Associate,Male,21,5,College,Management,5,86886,9424,"[18,29.8]",96310,11.372352193556658,9.151014905891367,11.47532743455491,104926.9308158311,85947.22828817816,85200.91732745517
IT,Female,22,5,High School,Sales,4,102120,10215,"[18,29.8]",112335,11.53390387135542,9.231612507251722,11.629240757351576,96468.684640002175,77597.78805244647,78534.33743896848
Sales Associate,Male,18,4,Masters,Operations,5,90780,9353,"[18,29.8]",100133,11.416194276010456,9.143452426434552,11.514254581303659,104926.9308158311,83098.50056673509,82247.64661012295
Software Engineer,Male,18,4,Masters,Operations,4,89474,9104,"[18,29.8]",98578,11.401703359265541,9.116469156366112,11.498603391962671,104926.9308158311,83098.50056673509,82247.64661012295
Marketing Associate,Female,35,5,PhD,Engineering,5,97376,9564,"(29.8,41.5]",106940,11.486335052696697,9.165761328578215,11.580023208502723,96468.684640002175,89942.27484536642,90237.78525694579
Data Scientist,Female,33,5,Masters,Sales,2,89415,9654,"(29.8,41.5]",99069,11.401043732322137,9.175127616220438,11.503571856043113,96468.684640002175,88043.12303107104,88437.25482341083
Software Engineer,Female,22,4,Masters,Operations,3,88037,8949,"[18,29.8]",96986,11.385512459639553,9.099297073182859,11.482321917172051,96468.684640002175,77597.78805244647,78534.33743896848
Data Scientist,Female,24,4,College,Administration,4,71105,8623,"[18,29.8]",79728,11.171912936806796,9.062188330952324,11.286376120521187,96468.684640002175,79496.93986674184,80334.86787250344
Driver,Female,31,5,High School,Engineering,2,62692,8886,"(29.8,41.5]",71578,11.045989126773959,9.092232283495854,11.178543043164089,96468.684640002175,86143.97121677567,86636.72438987585
Software Engineer,Male,40,5,PhD,Management,4,112466,9493,"(29.8,41.5]",121959,11.63040623272605,9.158309963881798,11.711440201658933,104926.9308158311,103989.17052398423,103904.96520389259
Data Scientist,Female,49,5,College,Operations,3,71193,8331,"(41.5,53.2]",79524,11.173149777960127,9.027738775974909,11.283814141876228,96468.684640002175,103236.33754543404,102841.4982916906
Marketing Associate,Female,20,5,Masters,Administration,4,76286,9479,"[18,29.8]",85765,11.242244714198357,9.156834104453042,11.359366276843925,96468.684640002175,75698.63623815108,76733.8070054335
Financial Analyst,Male,18,5,PhD,Engineering,4,97328,9874,"[18,29.8]",107202,11.485841996560486,9.197660318818809,11.582470184161222,104926.9308158311,83098.50056673509,82247.64661012295
Graphic Designer,Male,34,5,Masters,Management,3,86766,9841,"(29.8,41.5]",96607,11.370970118842846,9.194312610898985,11.478406481343354,104926.9308158311,98291.7150810981,97998.42376922813
Warehouse Associate,Female,41,5,College,Operations,2,82453,9564,"(29.8,41.5]",92017,11.319983713014098,9.165761328578215,11.42972862156967,96468.684640002175,95639.73028825255,95639.37655755071
Software Engineer,Male,19,5,PhD,Administration,3,88814,10153,"[18,29.8]",98967,11.394299574211256,9.225524507301223,11.50254174021549,104926.9308158311,84048.07647388277,83232.07018256703
Driver,Male,31,5,College,Management,4,82832,9958,"(29.8,41.5]",92790,11.324569739141683,9.206131527202128,11.438094154347224,104926.9308158311,95442.98735965503,95045.1530518959
Sales Associate,Female,33,5,High School,Engineering,3,83034,8841,"(29.8,41.5]",91875,11.327005441453986,9.087155271405804,11.428184236515138,96468.684640002175,88043.12303107104,88437.25482341083
Warehouse Associate,Female,53,5,College,Engineering,5,127085,9687,"(41.5,53.2]",136772,11.75261143290375,9.178540059426386,11.82607058485854,96468.684640002175,107034.64117402481,106442.55915876056
Sales Associate,Male,24,5,High School,Administration,1,66168,9242,"[18,29.8]",75410,11.099952241371742,9.131513591430211,11.230695171196693,104926.9308158311,88795.95600962122,88154.18804478738
Data Scientist,Male,18,5,PhD,Administration,4,59212,10209,"[18,29.8]",69421,10.988879503033383,9.231024963169016,11.14794469438261,104926.9308158311,83098.50056673509,82247.64661012295
Data Scientist,Male,18,5,High School,Operations,2,55189,9405,"[18,29.8]",64594,10.918518937044894,9.14899674173513,11.075876806200181,104926.9308158311,83098.50056673509,82247.64661012295
Manager,Male,25,5,College,Engineering,5,131311,11067,"[18,29.8]",142378,11.78532383439027,9.311722986264785,11.866240771642504,104926.9308158311,89745.5319167689,89138.61161723147
Sales Associate,Female,31,5,College,Management,1,52633,9516,"(29.8,41.5]",62149,10.87109857843334,9.160729871422848,11.037290006704824,96468.684640002175,86143.97121677567,86636.72438987585
Warehouse Associate,Female,31,4,PhD,Operations,5,101154,10324,"(29.8,41.5]",111478,11.524399387043855,9.242226560838505,11.621582540997206,96468.684640002175,86143.97121677567,86636.72438987585
Financial Analyst,Female,42,5,College,Engineering,5,113640,8762,"(41.5,53.2]",122402,11.640790835968124,9.078179468373843,11.71506598879615,96468.684640002175,96589.30619540023,96539.6417743182
Data Scientist,Male,22,4,High School,Management,2,50401,8590,"[18,29.8]",58991,10.827766295132466,9.0583540149783,10.985140168879203,104926.9308158311,86896.80419532585,86185.34089989925
Marketing Associate,Female,23,5,PhD,Administration,3,46263,9432,"[18,29.8]",55695,10.742097784525766,9.151863442217207,10.92764565527929,96468.684640002175,78547.36395959416,79434.60265573596
Warehouse Associate,Female,36,4,College,Management,3,74938,8234,"(29.8,41.5]",83172,11.224416383974466,9.01602720232985,11.328666031705986,96468.684640002175,90891.8507525141,91138.05047371327
Marketing Associate,Female,39,5,College,Sales,5,103384,9168,"(29.8,41.5]",112552,11.546205490205027,9.12347443895452,11.63117061605705,96468.684640002175,93740.57847395717,93838.84612401575
Warehouse Associate,Female,39,5,College,Engineering,2,77584,9798,"(29.8,41.5]",87382,11.259116499345133,9.18993356219852,11.378044590776334,96468.684640002175,93740.57847395717,93838.84612401575
Graphic Designer,Male,23,5,Masters,Management,3,83031,10240,"[18,29.8]",93271,11.326969311023126,9.234056898593499,11.443264513224493,104926.9308158311,87846.38010247353,87169.76447234332
Financial Analyst,Male,29,5,Masters,Engineering,5,111019,10042,"[18,29.8]",121061,11.61745663681753,9.21453157659465,11.704049829778322,104926.9308158311,93543.83554535966,93076.30590700776
Warehouse Associate,Female,25,3,Masters,Engineering,4,80192,8747,"[18,29.8]",88939,11.29217903825574,9.076466063419854,11.39570602046651,96468.684640002175,80446.51577388954,81235.13308927092
Warehouse Associate,Male,21,5,PhD,Management,1,48755,9931,"[18,29.8]",58686,10.794563035269219,9.203416456903359,10.979956476518549,104926.9308158311,85947.22828817816,85200.91732745517
Warehouse Associate,Male,28,5,High School,Engineering,2,59044,9368,"[18,29.8]",68412,10.986038207656888,9.145054905277552,11.133303526819581,104926.9308158311,92594.25963821198,92091.88233456369
Manager,Male,29,4,PhD,Engineering,5,146615,10173,"[18,29.8]",156788,11.895565382436448,9.227492430793749,11.962649853357583,104926.9308158311,93543.83554535966,93076.30590700776
Data Scientist,Female,32,5,PhD,Engineering,1,46693,8457,"(29.8,41.5]",55150,10.7513495394883,9.042749779782222,10.917812024681648,96468.684640002175,87093.54712392334,87536.98960664333
IT,Female,48,5,PhD,Operations,3,88152,8857,"(41.5,53.2]",97009,11.386817876167614,9.088963385809583,11.48255903668655,96468.684640002175,102286.76163828636,101941.23307492312
Data Scientist,Female,38,5,Masters,Administration,5,127156,9979,"(29.8,41.5]",137135,11.753169958097134,9.208238163884312,11.82872112108081,96468.684640002175,92791.00256680947,92938.58090724825
Graphic Designer,Male,31,5,PhD,Engineering,1,69462,8872,"(29.8,41.5]",78334,11.148535119433783,9.090655529030203,11.26873701506027,104926.9308158311,95442.98735965503,95045.1530518959
Manager,Male,19,4,PhD,Sales,5,119162,9395,"[18,29.8]",128557,11.688239190842124,9.147932911847565,11.764127664731527,104926.9308158311,84048.07647388277,83232.07018256703
Software Engineer,Male,26,5,PhD,Operations,2,68466,8384,"[18,29.8]",76850,11.134092550662734,9.034080406560824,11.249610748966742,104926.9308158311,90695.1078239166,90123.03518967555
Financial Analyst,Female,36,5,Masters,Administration,3,92622,8509,"(29.8,41.5]",101131,11.436281973409896,9.048879705849558,11.52417198510996,96468.684640002175,90891.8507525141,91138.05047371327
Marketing Associate,Female,34,5,Masters,Engineering,1,51331,9130,"(29.8,41.5]",60461,10.846050137149113,9.119320973589014,11.009753808057733,96468.684640002175,88992.69893821873,89337.52004017831
Warehouse Associate,Male,49,5,High School,Sales,4,109419,8375,"(41.5,53.2]",117794,11.602939828478998,9.033006356693267,11.676692615116377,104926.9308158311,112535.35368831342,112764.77735588924
Software Engineer,Male,18,5,College,Operations,3,80355,9945,"[18,29.8]",90300,11.29420959698317,9.204825191288073,11.410892739405076,104926.9308158311,83098.50056673509,82247.64661012295
Driver,Female,21,4,Masters,Sales,4,77032,8725,"[18,29.8]",85757,11.25197619892012,9.073947747070628,11.359272994349483,96468.684640002175,76648.21214529878,77634.07222220098
Financial Analyst,Female,47,5,High School,Sales,5,146190,8961,"(41.5,53.2]",155151,11.892662424505662,9.10063710688422,11.952154115231197,96468.684640002175,101337.18573113868,101040.96785815564
Graphic Designer,Female,22,4,Masters,Administration,4,96045,9129,"[18,29.8]",105174,11.472572110621012,9.119211438565081,11.563371400450603,96468.684640002175,77597.78805244647,78534.33743896848
Software Engineer,Male,29,5,High School,Management,1,82534,8914,"[18,29.8]",91448,11.320965608636271,9.0953783535065,11.423525783705614,104926.9308158311,93543.83554535966,93076.30590700776
IT,Male,55,5,College,Management,5,127769,8802,"(53.2,65]",136571,11.757979224991384,9.082734247371036,11.824599904897987,104926.9308158311,118232.80913119955,118671.31879055369
Marketing Associate,Female,34,5,High School,Sales,5,96061,9093,"(29.8,41.5]",105154,11.472738685324947,9.115260165725912,11.56318122130127,96468.684640002175,88992.69893821873,89337.52004017831
Warehouse Associate,Female,48,5,College,Management,5,111342,10122,"(41.5,53.2]",121464,11.620361824572393,9.222466551774023,11.707373201562024,96468.684640002175,102286.76163828636,101941.23307492312
Financial Analyst,Female,43,5,PhD,Management,3,117554,8369,"(41.5,53.2]",125923,11.674653081462434,9.032289682032873,11.743425888017999,96468.684640002175,97538.88210254791,97439.90699108569
Financial Analyst,Female,30,5,High School,Engineering,5,109369,10052,"(29.8,41.5]",119421,11.60248276501235,9.215526898663482,11.690410343872657,96468.684640002175,85194.39530962797,85736.45917310836
Warehouse Associate,Female,25,4,Masters,Operations,4,92358,9611,"[18,29.8]",101969,11.43342760883813,9.170663554823284,11.532424124504262,96468.684640002175,80446.51577388954,81235.13308927092
Financial Analyst,Female,21,4,Masters,Operations,4,91978,8647,"[18,29.8]",100625,11.429304697000154,9.06496771896043,11.519156014720865,96468.684640002175,76648.21214529878,77634.07222220098
Sales Associate,Male,28,5,PhD,Administration,1,52290,9330,"[18,29.8]",61620,10.864560427182177,9.140990293841389,11.028741772150658,104926.9308158311,92594.25963821198,92091.88233456369
IT,Male,18,5,High School,Engineering,1,47036,9130,"[18,29.8]",56166,10.758668544943307,9.119320973589014,10.9360668705998,104926.9308158311,83098.50056673509,82247.64661012295
Warehouse Associate,Male,46,5,PhD,Sales,1,76517,8502,"(41.5,53.2]",85019,11.24526821734915,9.048056708918736,11.35063003990524,104926.9308158311,109686.62596687036,109811.50663855702
Marketing Associate,Female,29,4,Masters,Administration,5,89822,8818,"[18,29.8]",98640,11.405585213149562,9.084550365917883,11.499232137838225,96468.684640002175,84244.8194024803,84836.19395634087
Driver,Male,32,4,PhD,Engineering,4,90368,8215,"(29.8,41.5]",98583,11.41164550141286,9.01371703047137,11.498654111932657,104926.9308158311,96392.56326680272,96029.57662433998
Financial Analyst,Male,26,5,College,Engineering,4,106194,9421,"[18,29.8]",115615,11.573022889018809,9.150696519048667,11.658020984588068,104926.9308158311,90695.1078239166,90123.03518967555
Warehouse Associate,Female,51,5,High School,Management,3,87684,8645,"(41.5,53.2]",96329,11.381494721579218,9.064736398117391,11.475524694715746,96468.684640002175,105135.48935972943,104642.02872522558
Marketing Associate,Female,40,5,Masters,Administration,3,62040,8056,"(29.8,41.5]",70096,11.035534617290475,8.994172434398399,11.15762101005368,96468.684640002175,94690.15438110486,94739.11134078323
Sales Associate,Female,52,5,Masters,Engineering,2,84132,7204,"(41.5,53.2]",91336,11.340142272994967,8.882391706295847,11.422300293356162,96468.684640002175,106085.06526687712,105542.29394199306
Financial Analyst,Female,29,4,Masters,Administration,4,88047,8459,"[18,29.8]",96506,11.385626041793648,9.042986242304014,11.477360461560023,96468.684640002175,84244.8194024803,84836.19395634087
Driver,Female,37,5,Masters,Administration,2,65012,8357,"(29.8,41.5]",73369,11.082327147223067,9.030854790001436,11.203256782066294,96468.684640002175,91841.4266596618,92038.31569048077
Marketing Associate,Female,23,4,Masters,Engineering,4,59251,8596,"[18,29.8]",67847,10.989537936492082,9.059052257762401,11.12501044910495,96468.684640002175,78547.36395959416,79434.60265573596
Graphic Designer,Female,18,4,PhD,Operations,3,78462,8743,"[18,29.8]",87205,11.270369710134558,9.076008659180891,11.37601694770277,96468.684640002175,73799.48442385571,74933.27657189852
Driver,Male,40,5,College,Management,2,97414,8833,"(29.8,41.5]",106247,11.486725216467754,9.086249986745132,11.573521851093922,104926.9308158311,103989.17052398423,103904.96520389259
Driver,Female,18,4,Masters,Administration,2,42722,8515,"[18,29.8]",51237,10.66246928901762,9.049584593096789,10.8442172062873,96468.684640002175,73799.48442385571,74933.27657189852
Marketing Associate,Female,26,4,College,Management,3,63695,8897,"[18,29.8]",72592,11.061861345543887,9.093469420244768,11.192610001903745,96468.684640002175,81396.09168103721,82135.39830603842
Data Scientist,Male,51,5,PhD,Operations,4,110731,8643,"(41.5,53.2]",119374,11.614859115627624,9.064505023752638,11.690016700784593,104926.9308158311,114434.50550260881,114733.6245007774
Software Engineer,Male,54,5,PhD,Administration,4,125572,8245,"(53.2,65]",133817,11.740634578227358,9.0173622349937,11.80422847391185,104926.9308158311,117283.23322405186,117686.89521810962
Driver,Male,49,5,Masters,Operations,2,72754,8014,"(41.5,53.2]",80768,11.194839166340108,8.98894529119609,11.29933612646083,104926.9308158311,112535.35368831342,112764.77735588924
IT,Female,26,5,College,Administration,2,53956,9454,"[18,29.8]",63410,10.89592417858957,9.154193211353181,11.057376856694077,96468.684640002175,81396.09168103721,82135.39830603842
Sales Associate,Male,58,5,High School,Engineering,5,135013,8972,"(53.2,65]",143985,11.813126349080672,9.101863895640099,11.877464406465746,104926.9308158311,121081.53685264262,121624.58950788592
IT,Female,49,5,College,Management,3,108495,8668,"(41.5,53.2]",117163,11.59445936795149,9.067393362656249,11.671321406622718,96468.684640002175,103236.33754543404,102841.4982916906
Financial Analyst,Female,27,4,High School,Administration,4,87608,7511,"[18,29.8]",95119,11.380627596955595,8.924123891686012,11.462884018273236,96468.684640002175,82345.66758818491,83035.6635228059
Data Scientist,Male,38,5,College,Administration,5,101173,9255,"(29.8,41.5]",110428,11.5245872018195,9.132919225007598,11.612119003856614,104926.9308158311,102090.01870968885,101936.11805900442
IT,Male,53,5,PhD,Management,5,126828,9310,"(41.5,53.2]",136138,11.750587116797348,9.138844370271112,11.82142435613452,104926.9308158311,116333.65731690418,116702.47164566554
Financial Analyst,Male,49,5,High School,Engineering,4,102716,8290,"(41.5,53.2]",111006,11.539723177355606,9.022805248129341,11.617339532887657,104926.9308158311,112535.35368831342,112764.77735588924
Marketing Associate,Male,26,4,High School,Engineering,5,77793,8700,"[18,29.8]",86493,11.261806731825494,9.071078304642676,11.367818764789886,104926.9308158311,90695.1078239166,90123.03518967555
Marketing Associate,Female,44,5,High School,Sales,1,57469,7539,"(41.5,53.2]",65008,10.95900095096759,8.927844826211702,11.082265618227508,96468.684640002175,98488.4580096956,98340.17220785317
Graphic Designer,Male,33,5,Masters,Management,3,83758,8498,"(29.8,41.5]",92256,11.3356869675134,9.047586120674756,11.432322600438129,104926.9308158311,97342.13917395042,97014.00019678407
Graphic Designer,Male,22,5,PhD,Administration,1,40187,8549,"[18,29.8]",48736,10.60129883922295,9.053569596026234,10.794173255694888,104926.9308158311,86896.80419532585,86185.34089989925
Financial Analyst,Male,41,5,Masters,Engineering,3,98531,6855,"(29.8,41.5]",105386,11.498126498458157,8.832733591996416,11.56538507894259,104926.9308158311,104938.74643113192,104889.38877633665
Financial Analyst,Male,26,4,College,Operations,4,104435,7802,"[18,29.8]",112237,11.556320147289417,8.962135390066601,11.628367985980072,104926.9308158311,90695.1078239166,90123.03518967555
Data Scientist,Male,29,5,High School,Administration,1,67617,9075,"[18,29.8]",76692,11.12161470970538,9.113278659133051,11.247552679438282,104926.9308158311,93543.83554535966,93076.30590700776
Driver,Female,24,4,High School,Administration,5,91049,10375,"[18,29.8]",101424,11.419153102119054,9.247154345098899,11.527065028523948,96468.684640002175,79496.93986674184,80334.86787250344
Manager,Female,32,5,PhD,Operations,1,98519,8943,"(29.8,41.5]",107462,11.498004701959655,9.09862638234618,11.58489257568602,96468.684640002175,87093.54712392334,87536.98960664333
Marketing Associate,Female,36,4,High School,Operations,5,91713,7627,"(29.8,41.5]",99340,11.426419414826933,8.939449862164238,11.506303588661341,96468.684640002175,90891.8507525141,91138.05047371327
Warehouse Associate,Female,41,4,Masters,Engineering,3,88994,8873,"(29.8,41.5]",97867,11.396324230711397,9.090768236835338,11.491364693043138,96468.684640002175,95639.73028825255,95639.37655755071
Financial Analyst,Male,44,5,Masters,Administration,4,119381,9345,"(41.5,53.2]",128726,11.690075338300055,9.142596719889664,11.765441393382906,104926.9308158311,107787.47415257499,107842.65949366888
Financial Analyst,Female,43,5,High School,Sales,5,113180,9089,"(41.5,53.2]",122269,11.636734750696515,9.11482017011877,11.713978814483706,96468.684640002175,97538.88210254791,97439.90699108569
Warehouse Associate,Male,48,5,PhD,Management,2,68639,9553,"(41.5,53.2]",78192,11.13661616529115,9.164610520270008,11.266922619509936,104926.9308158311,111585.77778116573,111780.35378344517
Software Engineer,Female,28,3,PhD,Engineering,4,103763,8383,"[18,29.8]",112146,11.549864731448224,9.033961124637857,11.627556872794234,96468.684640002175,83295.2434953326,83935.9287395734
Software Engineer,Male,40,5,College,Management,1,68295,7902,"(29.8,41.5]",76197,11.131591836436993,8.974871170971337,11.241077370820976,104926.9308158311,103989.17052398423,103904.96520389259
Manager,Male,21,4,High School,Engineering,3,103107,9036,"[18,29.8]",112143,11.543522562947606,9.108971877587894,11.627530121593772,104926.9308158311,85947.22828817816,85200.91732745517
Warehouse Associate,Female,19,4,College,Sales,2,64844,9042,"[18,29.8]",73886,11.079739664261464,9.109635667854551,11.210278643793075,96468.684640002175,74749.0603310034,75833.54178866601
Driver,Female,61,5,PhD,Sales,4,129132,8472,"(53.2,65]",137604,11.768590415988392,9.044521887281242,11.832135273826305,96468.684640002175,114631.2484312063,113644.68089290046
Warehouse Associate,Female,57,5,High School,Engineering,3,93470,8578,"(53.2,65]",102048,11.44539580817663,9.056956065076825,11.533198569809784,96468.684640002175,110832.94480261556,110043.6200258305
Data Scientist,Male,28,4,Masters,Administration,5,97625,7985,"[18,29.8]",105610,11.488888887141988,8.985320060649112,11.56750834274052,104926.9308158311,92594.25963821198,92091.88233456369
